user_id,item_list
90,1263 450 1266 448 446 394 62 271 458 93
91,4380 15344 22560 3709 5770 3716 14738 22561 19820 3529
92,312 1128 310 298 2077 15454 675 8819 10221 877
93,3197 272 1529 14224 22 915 14563 23826 22552 2655
94,1861 916 1607 316 1911 14793 4036 11205 2581 22
95,55 352 21 22 22782 1898 1870 20 2576 1746
96,1263 1266 56 22 421 53 450 348 811 581
97,19458 5413 6203 5879 14506 4981 13349 5417 727 23969
98,21 676 124 677 25 126 22 353 771 95
99,541 773 826 153 1108 1039 993 543 995 347
100,555 826 537 993 153 995 1039 347 543 551
101,61 270 55 1748 394 54 272 2064 450 932
102,21 1023 327 1835 124 560 25 13400 1064 353
103,16887 673 106 102 127 130 97 391 126 675
104,2525 2717 2522 2524 12856 1693 3343 3539 8335 126
105,4577 704 5070 3391 2057 5938 2792 5068 5069 1869
106,5140 21 10855 3517 21075 24128 53 581 2659 3694
107,126 95 17880 113 3436 704 673 828 677 13463
108,1502 836 3992 2105 692 4330 3994 77 6495 6496
109,348 25 27 207 347 22 53 353 541 436
110,846 632 4757 13751 19881 469 4874 421 3497 2330
111,15344 22528 22980 14738 22280 16125 3795 7385 24027 19822
112,9209 81 126 10706 10081 5321 19823 9090 21 18848
113,56 61 393 598 348 1068 396 626 62 55
114,364 126 356 10353 684 890 1154 344 95 683
115,6202 20030 8484 7193 14524 2934 453 7159 667 9587
116,2112 8944 6743 67 68 71 14732 12170 22674 80
117,818 1901 450 20 21 448 667 453 458 446
118,1263 1266 446 453 812 448 1630 356 1317 2534
119,828 750 1532 1849 831 1832 166 450 2147 759
120,448 453 1263 20 450 21 519 458 1714 1648
121,995 537 385 773 20943 2039 775 11987 1108 8201
122,10221 11044 12114 16713 22441 17075 15978 15441 14172 20947
123,356 364 450 448 667 668 6691 453 457 452
124,16887 17521 576 6 678 512 499 107 130 492
125,266 672 450 581 448 683 1578 1574 453 1216
126,21319 1979 1376 2535 4104 8335 1504 1302 17714 1375
127,771 21 22 124 25 3653 521 432 1326 1327
128,504 495 471 1311 492 93 778 486 145 488
129,77 73 3994 3989 4335 83 3991 1186 2845 82
130,1327 1216 1859 1212 1514 5070 1091 21 4577 12285
131,8819 15454 22443 22441 18939 6712 11044 22631 17075 16713
132,348 1266 1263 53 446 448 393 25 62 598
133,126 676 677 773 344 775 95 98 9733 342
134,20 818 15672 22 8007 25 4341 20137 684 124
135,453 1266 450 1263 448 446 812 53 1648 667
136,2057 704 2410 4220 1869 1870 5642 5938 3244 2047
137,80 20553 16948 2106 20352 19727 7720 2111 14673 15732
138,21 20 179 1327 678 25 498 93 750 778
139,56 58 348 25 393 22 272 448 598 270
140,20 124 436 56 353 209 771 1327 53 348
141,21 14215 3671 53 448 24217 395 9128 4150 23081
142,8568 10595 10596 10597 53 25 8220 10598 10599 58
143,1263 1266 450 581 448 812 446 1317 458 811
144,14524 18919 2998 22542 22435 13063 17178 453 1514 13988
145,71 2104 4334 2107 3994 3989 629 67 2106 567
146,20422 667 207 22 2998 817 458 450 1263 18919
147,2105 2588 629 2587 2106 6910 11202 2112 2586 4330
148,617 751 1311 498 828 676 494 495 99 130
149,53 2586 56 348 2107 598 3780 2104 10749 75
150,15454 12114 6712 22631 15441 14172 22760 16204 15711 20947
151,62 272 124 25 56 395 394 337 20 353
152,4341 11660 4333 16516 22844 4572 19370 2086 14715 7205
153,17178 56 450 22542 18919 272 1648 13063 448 2998
154,358 356 1151 1222 3546 581 52 4603 18232 4155
155,21 20 916 432 261 2363 124 25 1861 4036
156,126 752 8335 22414 95 21 617 3539 8438 677
157,271 54 337 1068 932 772 396 393 273 56
158,22 21 919 53 771 1327 56 25 916 207
159,21 124 22 348 56 28 25 468 1064 436
160,4104 1300 1301 1504 683 1302 1299 1779 2559 1374
161,61 55 396 58 53 598 25 62 271 348
162,22403 917 22 15454 8819 10221 16713 18939 11044 12114
163,683 2108 2105 676 1979 3356 3246 356 11904 1697
164,673 21 2077 106 828 1995 2880 1535 831 2495
165,828 750 2494 109 1108 541 1532 1849 5735 5
166,21 270 25 56 20 521 124 61 393 22
167,25 21 768 207 80 929 767 3596 769 448
168,58 393 56 272 61 394 395 25 598 208
169,71 21 2106 7479 22 2111 8508 7340 629 353
170,1859 1514 1216 21 25 4577 17880 5070 28 3391
171,4115 4510 19603 16505 2957 3021 12691 13609 16608 19372
172,21 130 102 20 241 1004 16887 576 5068 496
173,56 348 25 61 436 353 598 393 124 207
174,2047 2413 448 667 2054 22427 2410 457 2436 21
175,1068 61 270 55 2592 62 1263 268 1753 58
176,22 916 917 1327 21 919 771 2111 20 2588
177,130 106 102 16887 97 391 1534 673 450 277
178,4892 4890 58 4891 62 271 272 394 54 208
179,22 916 1911 4073 21 919 1048 130 1038 16887
180,1263 450 581 814 453 812 458 421 448 102
181,271 436 21 272 62 25 560 645 353 394
182,58 62 932 393 272 1068 772 396 55 395
183,25 124 353 348 270 56 521 771 174 916
184,53 598 61 1752 336 270 393 1449 21 58
185,25 124 56 58 436 393 61 771 347 270
186,446 581 448 1266 453 814 812 2388 7205 2105
187,355 358 1216 1514 356 6 16887 1653 500 130
188,486 93 504 498 492 2010 471 2003 679 21343
189,61 25 393 396 21 348 62 598 207 270
190,5735 1535 1189 675 107 12542 1621 97 2891 2745
191,778 492 486 504 494 679 471 6887 499 2010
192,14189 25 22478 555 16719 347 626 826 15126 56
194,80 75 71 629 2106 2586 2107 2587 73 20
195,17972 15131 16030 771 450 9599 22 21 352 20
196,80 67 854 68 75 79 2119 77 2106 73
197,4380 15344 22469 3709 1299 4559 1374 19690 23112 1504
198,450 458 1195 812 446 1266 811 1222 448 1152
199,20 53 348 270 393 436 62 207 61 1068
201,22 916 917 778 677 672 95 1311 21 5904
202,446 1195 2276 1547 1265 812 8944 1193 1548 22146
203,5644 8168 8167 751 5614 752 1969 1632 5611 1630
204,10221 22403 8819 18939 15454 22441 12114 11044 22631 21818
205,581 446 1266 450 814 453 811 17178 22402 448
206,353 22 541 20 436 56 347 348 1835 58
207,353 176 175 3397 20 25 917 436 179 916
208,4631 10283 21 20 24051 5246 2319 124 7332 2250
209,1214 1216 1212 5070 4577 348 545 3391 56 22
210,15131 16682 7632 3539 13063 9599 8875 448 22542 21319
211,71 77 21 3991 26 2106 75 629 25 2111
212,22 393 25 56 396 61 270 347 208 22403
213,58 56 61 53 772 271 536 55 272 394
214,77 71 2107 2586 629 4334 2106 83 2111 67
215,883 9209 22844 22617 2119 567 358 2588 356 63
216,102 500 107 6 130 499 127 391 1534 576
217,1154 692 460 3246 1691 1703 126 1498 1502 3360
218,1023 124 499 93 6887 20 25 1326 21343 828
219,3505 21509 15054 10655 22461 19571 17536 22403 10564 13875
220,6986 23279 10940 22149 9918 23694 15567 24410 14611 3110
221,10363 23137 2494 12494 7101 16887 12476 13763 22217 21978
222,58 270 20 56 337 772 15582 393 521 55
223,448 1263 453 667 21299 1301 1299 107 1504 1378
224,629 2111 949 2109 2112 5928 2588 2114 75 5874
225,1327 22 25 450 2581 2436 436 17348 20422 7016
226,1376 1779 1758 1372 16626 4032 1378 2638 14258 4366
227,448 540 450 1263 446 20169 18328 453 581 665
228,56 23308 10293 21413 53 393 2682 14830 598 396
229,1302 1372 126 22752 1299 79 1374 1979 95 22415
230,2365 2361 22 771 20 364 672 432 358 8933
231,6186 6874 20372 14916 868 3637 9234 9528 17618 9100
232,498 495 93 471 2010 1311 678 504 487 19647
233,20422 272 62 52 1194 393 80 13063 53 12851
234,124 27 348 22 353 58 436 20 56 25
235,1048 1038 4073 20 1914 771 124 921 14793 174
236,3343 21 25 20 124 2722 436 56 2723 2525
237,22 124 25 56 436 771 58 208 353 207
238,21 22 521 124 3037 1328 56 351 58 1556
239,3539 21319 6186 14460 7569 22414 13988 271 17178 22402
240,826 1266 458 385 775 153 1039 668 446 457
241,8875 25 15131 16030 124 348 22 353 436 53
242,23936 23524 450 10966 20139 17402 22125 16887 53 1668
243,67 2119 629 68 75 71 80 713 12569 23398
244,21 352 521 1898 22557 271 28 22 11524 56
245,1263 20422 581 448 450 446 2998 3539 22542 8875
246,4380 22560 15344 3709 17498 14651 22469 3753 4559 1193
247,53 626 555 21 347 25 773 537 61 468
248,492 93 9558 497 495 4921 471 494 4721 22762
249,541 555 2392 154 773 826 153 385 4879 775
250,2108 11904 7371 2105 3355 3358 11202 3357 88 77
251,498 751 617 678 471 495 93 99 105 1501
252,22 25 56 124 27 7706 348 436 20 353
253,10158 1263 453 5677 446 1266 9570 667 458 21
254,581 773 537 25 775 21 458 812 626 811
255,537 1953 1108 2992 1954 28 347 773 4013 775
256,5070 3391 16626 5069 9672 2792 17136 1779 1299 6506
257,1263 453 446 1266 458 667 18484 937 668 55
258,124 353 56 207 22 541 345 537 385 61
259,95 3719 5190 4574 1193 1222 17900 21606 126 803
260,555 626 773 1108 826 775 153 385 56 448
261,883 567 2494 68 2256 9209 2112 2488 854 100
262,885 80 71 68 364 5187 2119 75 2112 43
263,67 95 1618 1619 2119 672 676 629 110 126
264,21 25 348 20 22 27 353 1835 560 207
265,450 446 1222 581 1152 5697 10855 1151 1154 1266
266,21 53 672 270 22 9733 771 348 61 126
267,348 53 61 393 396 1068 468 270 25 58
268,22 21 1911 353 20 1299 25 1374 1048 348
269,20422 18139 10010 8445 5934 21319 19112 14805 448 14524
270,21 353 22 348 436 207 393 53 61 396
271,56 61 55 396 1068 58 1748 1449 536 2592
272,22542 20422 17178 22782 14524 2998 22402 18919 22414 11761
273,2254 2253 811 450 1787 2252 1263 446 453 1266
274,1154 126 1147 1186 1153 3436 1558 1561 9733 17880
275,453 124 446 457 771 56 498 93 588 436
276,21 126 1004 22 676 20 432 124 677 1327
277,355 358 356 683 4342 1212 1216 1214 1859 20
278,1263 704 1870 1869 1873 2053 667 2047 581 2413
279,21 20 124 771 353 347 1326 58 208 209
280,8875 21319 3539 22402 56 21 541 826 270 1039
281,16682 16030 13988 20422 448 450 1444 3539 8875 22542
282,25 53 21 58 61 20 270 348 1795 62
283,1023 21 22 2992 261 2023 1953 917 20 1952
284,21 130 23805 1263 450 22 21473 8513 1266 581
285,448 453 1648 450 446 1266 421 56 25 1691
286,1263 446 56 450 1266 453 422 348 393 421
287,124 20 53 270 348 393 448 271 1263 61
288,14651 4380 19690 23112 3709 3716 3529 22561 14738 5770
289,617 99 499 93 17237 1532 750 105 752 109
290,396 21 598 58 25 20 62 55 268 1753
291,14524 14805 2998 13988 22435 17178 7632 811 18919 1154
292,20 22 71 348 2586 2107 207 1501 393 629
293,312 22 771 58 20 56 25 271 1327 62
294,667 672 1263 1691 676 109 828 2998 1648 2263
295,21 56 22472 771 2998 14099 14805 20 178 58
296,1648 731 452 1094 17956 7659 1946 6746 14629 2216
297,332 1835 13400 1546 20823 24400 5334 7660 1023 9434
298,56 53 348 393 58 270 396 1068 1449 468
299,21 22 1297 1374 672 771 1779 14686 1299 18988
300,2998 17178 14805 22542 13988 22435 22402 18919 453 7632
301,71 80 2114 2119 2104 629 2588 84 2112 67
302,1561 13463 17694 21 1562 1558 771 124 25 5076
303,2023 524 1835 1648 1311 99 673 4419 11621 5944
304,393 272 396 270 54 598 55 395 772 348
305,22 521 1746 25 352 1556 986 2497 895 615
306,7876 56 22193 7349 7092 53 10788 9491 22 3992
307,93 499 486 778 19647 678 107 504 5 495
308,396 58 62 348 1748 1449 272 394 271 335
309,916 1048 4036 4073 919 7588 1630 4072 14793 1634
310,43 39 41 124 42 348 22 438 448 25
311,22441 22443 18939 11044 6712 16713 12114 22631 15978 17075
312,21 25 771 353 1326 1327 436 899 519 56
313,15454 12114 11044 22631 21818 15441 14172 15711 16204 21458
314,22 4036 1048 919 4073 21 1038 316 544 4513
315,6826 24301 22933 14615 22726 4349 13591 9456 16313 1984
316,9209 450 917 916 448 667 453 446 458 14506
317,2426 23834 8294 10714 271 9766 7995 908 62 4177
318,8470 567 23006 629 58 56 22907 5348 62 61
319,10221 8819 22443 12114 22631 11044 6712 18939 9791 17075
320,17178 22403 15454 1151 22443 6712 11044 22402 18939 1153
321,1263 814 812 453 448 811 421 458 581 667
322,5237 95 541 61 432 5068 22 5069 20 486
323,11621 10225 9938 4793 10582 21051 22511 5944 15088 4425
324,56 271 272 394 1068 61 598 772 393 348
325,450 117 672 667 448 677 20 342 676 498
326,20 124 25 22 450 2173 771 448 453 1648
327,21319 22542 13988 14805 22435 8335 11761 16380 667 15245
328,20414 4448 19609 12072 12366 1224 8932 16884 18064 22
329,2281 4297 335 22 21 53 1746 2576 20 986
330,541 102 130 773 673 124 468 626 775 348
331,21299 22 20 124 56 25 519 6198 24387 486
332,1071 458 1634 446 448 1506 453 812 1263 814
333,14206 12570 911 6129 3736 21299 2392 17340 17831 5
334,2046 2044 2056 3525 1665 2436 704 3522 13277 4852
335,448 1266 453 446 812 20422 811 2998 814 458
336,18484 448 13063 1648 19112 457 8875 667 3539 20
337,544 20 1327 25 124 22 174 1311 178 56
338,7632 22782 1630 2350 2346 448 22435 14524 2998 11855
339,21 11580 23294 25 9623 13983 20 598 521 2490
340,20422 13063 22403 16713 2998 10221 8819 22441 18939 12114
341,20 56 436 348 53 176 270 61 178 209
342,22782 11761 13063 3539 20422 16380 450 8875 21319 22542
343,102 16887 496 106 391 673 22472 500 1534 97
344,21 58 271 124 272 208 20 353 62 394
345,1263 1266 126 446 812 581 17327 448 421 814
346,22 56 25 124 53 436 353 348 207 771
347,3711 2494 100 5735 750 109 516 831 1532 128
348,21 20 270 771 58 25 17143 19037 271 16629
349,16713 9791 22 22403 15454 10221 102 12114 8819 22441
350,22 20 25 124 432 762 448 446 1327 1782
351,21 537 541 551 347 995 543 1108 1109 775
352,453 1266 448 581 1194 667 53 1648 396 803
353,771 124 1327 20 56 1311 450 672 347 1023
354,20 353 58 1534 347 560 56 271 207 1023
355,20422 14524 13477 1263 9038 7737 20758 2998 448 21173
356,247 9002 1222 2228 17954 1136 23802 14349 581 786
357,5884 8911 1643 676 498 95 494 2714 495 677
358,20886 10457 10585 1366 6140 20983 152 11534 19213 23920
359,56 21 58 208 62 124 54 25 394 20
360,8319 22560 4559 3709 19690 22469 4380 14651 932 3378
361,929 768 1022 767 769 208 1216 1212 1214 770
362,20 22 353 348 436 347 56 53 468 28
363,446 450 581 448 1266 453 812 811 2714 9414
364,750 58 100 109 270 828 62 128 1832 272
365,358 21 6469 2059 2350 14258 364 1697 1216 3175
366,25 541 56 154 53 826 22403 18939 271 8819
367,773 153 385 626 541 16887 2472 154 775 627
368,56 58 393 396 271 21 61 54 337 598
369,14651 19690 15344 4559 4380 22561 5770 23112 2552 678
370,453 448 1263 1266 18484 25 814 2494 391 22
371,20 22 25 207 56 124 2057 53 799 1327
372,358 2105 2106 1590 77 1499 4330 11320 2108 3988
373,1311 678 498 492 93 486 676 497 778 19647
374,124 396 353 348 58 598 436 432 55 62
375,5938 1870 21 1869 1865 498 2047 93 1866 2053
376,1532 3711 828 2494 2124 1849 5 2488 20768 831
377,35 58 667 458 16263 13751 62 126 450 453
378,21 20 771 56 124 432 521 353 15401 345
379,270 53 393 536 55 21 335 615 2281 598
380,683 1856 688 5508 2714 2559 20865 2459 1583 689
381,1263 446 581 453 3311 448 811 1266 5528 2479
382,124 58 21 917 22 916 271 62 272 20
383,581 1266 453 448 814 458 812 421 667 1648
384,56 335 61 1752 1449 1068 268 598 393 270
385,450 56 270 1648 1263 22 352 668 458 771
386,58 124 326 56 3539 272 208 21319 20 450
387,348 3988 1532 1534 106 391 61 275 102 28
388,21 58 61 393 348 55 396 22 1068 268
389,448 453 20 450 458 25 13988 581 1266 446
390,951 5928 2112 3998 2119 10867 4617 12306 4498 5874
391,12292 5767 23639 9074 21960 22 17400 22937 15104 16630
392,25 124 58 270 20 393 62 468 347 598
393,22 21 348 8242 56 448 124 270 453 25
394,68 2119 629 71 80 2106 2112 823 9389 22080
395,1263 446 811 458 421 1547 1198 1265 1222 1193
396,58 448 453 1263 56 126 25 458 12969 20
397,448 1263 458 667 668 56 731 673 58 581
398,58 62 271 272 208 22 20 4073 56 1911
399,348 25 353 436 347 20 56 468 1574 22
400,22 450 916 21 446 3745 35 453 95 812
401,21 22 20420 450 20372 1311 4464 58 18494 14916
402,10221 22403 8819 11044 18939 6712 22631 12114 15978 17075
403,13063 676 95 672 1691 124 25 731 126 7632
404,5 100 750 56 831 1733 759 828 2494 393
405,731 17810 803 21 22472 7014 771 17237 19077 22
406,21 22 56 271 124 62 272 394 393 1068
407,73 2106 358 2254 2105 2252 16713 2255 3991 9791
408,6665 1672 18209 1212 1216 1214 14353 2438 1859 1597
409,4036 348 4072 2752 393 208 21 22083 7252 18062
410,684 676 667 21 20 1573 695 1327 939 1154
411,71 2111 80 2112 2109 67 2119 2584 450 1263
412,1648 56 2998 20422 2142 667 450 13063 14805 453
413,1214 1212 5070 4577 3391 5068 5069 5938 20 22
415,1911 25 436 176 177 771 348 56 179 1607
416,126 22414 8335 56 8438 1909 355 2086 21 356
417,58 394 55 270 772 598 393 272 54 352
418,21 124 56 53 348 353 396 207 1068 58
419,21 56 25 348 124 53 22 207 436 353
420,393 56 61 394 598 54 55 1748 1753 932
421,3539 13063 9599 20779 22542 19153 20422 14805 18484 2998
422,2436 22838 4852 2410 917 8067 771 704 2057 22427
423,56 53 25 58 598 21 207 27 24247 1068
424,56 53 58 20 124 393 396 348 61 436
425,20422 448 13063 11855 18854 14524 18484 2998 9323 14805
426,71 629 84 2106 73 67 2105 2104 68 2119
427,56 270 1449 396 61 55 336 1068 268 598
428,21 22 126 676 677 95 1311 771 498 56
429,21 22 25 348 56 10272 347 353 270 436
430,2119 2112 2106 71 2111 2587 2110 944 2104 6128
431,25 124 468 27 20 28 436 22 53 345
432,21 56 58 53 15882 22443 10221 782 348 8819
433,80 2106 2111 629 67 22169 9976 84 75 68
434,20 25 436 56 353 209 348 771 432 1327
435,356 19705 364 622 355 885 1969 5648 1802 5614
436,705 56 53 2313 1066 1080 537 393 886 11340
437,271 62 54 270 394 1068 772 56 337 395
438,394 1068 54 270 61 337 598 772 55 53
439,71 2713 629 2426 2106 56 21 84 67 16425
440,5420 5136 5424 5422 15080 3565 21644 1146 14303 1151
441,1911 1038 22 4036 4073 4513 1914 921 14793 7588
442,773 555 775 826 347 1108 153 1039 124 993
443,1561 17880 79 13463 3436 80 71 1558 8859 17694
444,56 62 272 208 124 393 348 448 61 1068
445,672 22415 1311 677 126 95 117 322 1154 15284
446,22 771 21 1004 20 124 919 25 1911 916
447,814 5190 812 1317 3719 2035 1550 4396 11834 3590
448,541 826 1039 21 626 20 5 347 432 6426
449,21 6187 1327 3412 25 53 1898 964 2488 12118
450,71 126 95 75 22415 17506 79 67 2358 567
451,3638 3872 3876 424 3871 4342 4065 19705 3877 11855
452,446 1266 453 581 421 20 1023 124 22 667
453,20422 2998 14524 11855 19112 14805 1263 7632 10079 448
454,56 468 58 394 7706 1068 62 14060 393 55
455,56 352 21 1898 22 1746 271 536 1556 20
456,56 1266 457 393 1263 458 20422 58 396 62
457,1311 21 126 771 750 95 20 1618 352 828
458,15131 17972 16682 25 53 348 541 56 347 61
459,1532 100 831 2494 109 828 750 759 1830 3711
460,124 25 436 353 209 9558 7801 771 58 1326
461,672 915 11039 15589 292 21838 22 4698 95 21
462,37 53 25 124 353 771 348 436 4287 4282
463,22403 8819 22443 22631 15978 6712 17075 12114 15441 14172
464,676 21 22 20 126 498 752 105 99 1626
465,2106 75 629 71 2111 80 2586 2107 4334 73
466,21 22 683 56 126 25 436 53 672 771
467,581 52 95 4574 22415 1266 704 1151 1222 113
468,771 448 22 9235 21 20 266 1004 446 14687
469,1108 53 9470 61 20722 995 1109 11621 347 18310
470,1154 450 1147 1153 421 1266 1263 1158 35 1146
471,23731 3158 12758 18126 124 3632 21 3804 2968 9323
472,1301 7309 4104 2694 21 775 684 890 774 1374
473,2107 71 5938 18899 80 629 544 20 3989 21
474,684 10221 22403 22443 15454 8819 8215 15711 22441 12114
475,774 6910 4997 15284 4330 23507 4574 4332 1924 21005
476,448 358 20422 13063 13988 18484 450 667 457 458
477,56 270 55 536 598 393 61 1068 421 352
478,581 812 21 448 8944 5190 1193 1265 8459 22
479,14916 6874 20420 6186 19013 13558 241 21 7055 13670
480,1499 8560 16626 9672 22080 358 17136 6506 6469 8710
481,21 22 521 124 19061 21042 1898 4809 6152 1556
482,21 672 448 126 453 20958 2263 56 667 19353
483,458 446 1195 814 1198 448 8944 8459 812 2038
484,3314 1185 270 1714 1449 493 53 1840 6505 336
485,348 56 124 25 28 468 17403 436 11205 353
486,19887 10771 2393 7663 126 16244 6189 1151 1047 4847
487,1632 1630 684 359 1071 126 358 2350 364 683
488,752 672 2105 750 751 676 677 99 1311 18899
489,8568 2139 919 6553 5169 2243 3717 1911 22093 3195
490,56 22 58 629 20 347 353 348 2119 68
491,18484 37 1632 1630 39 1071 38 43 541 42
492,124 25 541 20 519 353 1108 537 555 28
493,521 337 352 895 270 2576 2444 55 2281 2823
494,2106 2104 80 629 2105 356 82 1071 358 5187
495,16801 17932 20989 2108 2105 11904 7371 3355 4330 3991
496,22403 8819 22631 15454 16713 6712 22443 12114 10221 9791
497,1216 1514 1212 1214 4577 3391 2792 5070 817 2485
498,20 1080 21 353 130 10595 576 102 16887 124
499,771 22 21 174 178 56 432 353 176 21687
500,124 2346 27 345 25 1437 436 58 1501 56
501,124 22193 7876 24245 4146 21892 20230 14841 22 6848
502,537 53 348 25 366 207 396 1108 124 393
503,21 22 9733 174 178 2427 1220 917 771 916
504,307 8016 2104 3836 17618 71 80 20111 2418 629
505,581 1266 814 1263 459 1552 446 1222 1317 812
506,93 486 504 19647 107 678 492 6887 778 494
507,22782 11761 21 13063 25 3539 8875 14524 453 22435
508,1263 446 581 916 458 4073 21 917 1911 1038
509,20360 1449 1068 270 268 1748 2592 55 336 348
510,21 56 58 448 453 25 271 53 2998 14524
511,5529 10837 5528 19308 9524 22436 1748 396 393 24096
512,38 43 37 4284 3745 844 42 41 36 845
513,3991 22 21 3993 22472 3994 77 5026 3989 20045
514,71 2106 67 68 2111 75 2313 2119 1080 84
515,555 626 773 1039 385 537 1108 16425 775 153
517,683 71 2559 629 358 2587 4708 1214 126 1514
518,21 1856 2803 20 5508 56 25 20865 436 126
519,826 775 1039 993 537 1108 124 347 615 924
520,336 8975 53 16927 15092 23220 22552 24325 1449 268
521,16887 130 7029 496 6 102 576 502 391 107
522,113 95 2388 1618 4574 22415 179 110 4266 1154
523,21 448 56 836 457 22 667 2824 1556 453
524,1068 396 394 58 772 1748 271 352 268 272
525,124 20 22 25 56 771 676 432 751 27
526,21 22 56 126 272 672 524 20 95 348
527,21 1495 20 6322 6887 13876 11746 124 1491 20319
528,270 20 53 771 1834 393 598 615 55 61
529,20 4574 124 22415 1618 353 771 15284 53 58
530,2588 22560 629 1696 2112 2479 14651 20263 3709 932
531,18056 21 2444 836 843 1703 18494 683 692 1505
532,56 270 61 21 271 1068 58 598 93 20
533,450 581 71 80 2106 448 458 453 421 84
534,2111 629 79 67 77 2119 2104 1807 75 2105
535,446 1263 53 1266 58 453 25 1547 458 62
536,3539 21319 13063 20422 17178 452 448 2998 22402 457
